StimuliName,user,FixationDuration,count
07b_Moskau_S2.jpg,p12,20347,55
07b_Moskau_S2.jpg,p13,19552,57
07b_Moskau_S2.jpg,p16,16318,61
07b_Moskau_S2.jpg,p17,21813,62
07b_Moskau_S2.jpg,p20,17068,65
07b_Moskau_S2.jpg,p21,25230,58
07b_Moskau_S2.jpg,p24,28029,92
07b_Moskau_S2.jpg,p25,9126,28
07b_Moskau_S2.jpg,p28,36185,109
07b_Moskau_S2.jpg,p29,23944,91
07b_Moskau_S2.jpg,p32,12508,29
07b_Moskau_S2.jpg,p33,9028,28
07b_Moskau_S2.jpg,p36,19963,64
07b_Moskau_S2.jpg,p37,31168,101
07b_Moskau_S2.jpg,p4,22609,87
07b_Moskau_S2.jpg,p40,6829,18
07b_Moskau_S2.jpg,p5,24449,56
07b_Moskau_S2.jpg,p8,16154,35
07b_Moskau_S2.jpg,p9,12358,35
08_Riga_S1.jpg,p1,15451,48
08_Riga_S1.jpg,p12,24699,61
08_Riga_S1.jpg,p13,20164,64
08_Riga_S1.jpg,p16,32071,137
08_Riga_S1.jpg,p17,28877,56
08_Riga_S1.jpg,p20,19400,64
08_Riga_S1.jpg,p21,49575,137
08_Riga_S1.jpg,p24,18901,47
08_Riga_S1.jpg,p25,24893,71
08_Riga_S1.jpg,p28,28409,81
08_Riga_S1.jpg,p29,29988,107
08_Riga_S1.jpg,p32,31392,71
08_Riga_S1.jpg,p33,8261,45
08_Riga_S1.jpg,p36,20964,65
08_Riga_S1.jpg,p37,134097,356
08_Riga_S1.jpg,p4,13853,48
08_Riga_S1.jpg,p40,23563,79
08_Riga_S1.jpg,p5,17217,38
08_Riga_S1.jpg,p8,44752,118
08_Riga_S1.jpg,p9,9340,26
08_Riga_S2.jpg,p10,46664,140
08_Riga_S2.jpg,p11,4246,15
08_Riga_S2.jpg,p14,70365,184
08_Riga_S2.jpg,p15,44946,84
08_Riga_S2.jpg,p18,9743,23
08_Riga_S2.jpg,p19,7176,19
08_Riga_S2.jpg,p2,60437,104
08_Riga_S2.jpg,p22,13339,36
08_Riga_S2.jpg,p23,72907,246
08_Riga_S2.jpg,p26,19966,40
08_Riga_S2.jpg,p27,25728,88
08_Riga_S2.jpg,p3,8240,25
08_Riga_S2.jpg,p30,9092,27
08_Riga_S2.jpg,p31,19518,53
08_Riga_S2.jpg,p34,88141,247
08_Riga_S2.jpg,p35,63677,184
08_Riga_S2.jpg,p38,45897,132
08_Riga_S2.jpg,p39,17354,33
08_Riga_S2.jpg,p6,46477,134
08_Riga_S2.jpg,p7,13169,47
